Index,Layers,Activation,Loss,Epochs,Alpha,Beta,F1-Score,MCE
1216,21-15-20-3,TANH,CEE,500,0.001,0.5,100.00%,0.2383
1222,21-15-20-3,TANH,CEE,300,0.001,0.75,100.00%,0.2383
377,21-20-3,TANH,CEE,300,0.001,0.75,100.00%,0.2384
381,21-12-3,TANH,CEE,300,0.001,0.75,100.00%,0.2384
362,21-20-3,TANH,CEE,500,0.001,0.5,100.00%,0.2385
1214,21-15-20-3,TANH,CEE,300,0.001,0.5,100.00%,0.2385
376,21-15-3,TANH,CEE,300,0.001,0.75,100.00%,0.2386
1215,21-20-45-3,TANH,CEE,300,0.001,0.5,100.00%,0.2387
1218,21-15-20-3,TANH,CEE,300,0.001,0.5,100.00%,0.2387
382,21-15-3,TANH,CEE,300,0.001,0.75,100.00%,0.2388
1219,21-20-45-3,TANH,CEE,300,0.001,0.5,100.00%,0.2389
365,21-20-3,TANH,CEE,300,0.001,0.5,100.00%,0.2392
363,21-12-3,TANH,CEE,300,0.001,0.5,100.00%,0.2394
364,21-15-3,TANH,CEE,300,0.001,0.5,100.00%,0.2394
370,21-15-3,TANH,CEE,300,0.001,0.5,100.00%,0.2395
371,21-20-3,TANH,CEE,300,0.001,0.5,100.00%,0.2396
249,21-12-3,ISRLU,SSE,300,0.01,0.95,99.79%,0.1845
1046,21-15-20-3,ISRLU,MSE,300,0.01,0.5,99.79%,0.1851
119,21-20-3,ISRLU,MSE,300,0.01,0.5,99.79%,0.1855
19,21-15-3,ISRLU,CEE,500,0.01,0.75,99.79%,0.1857
234,21-12-3,ISRLU,SSE,500,0.01,0.75,99.79%,0.1861
121,21-15-3,ISRLU,MSE,500,0.01,0.75,99.79%,0.1863
115,21-15-3,ISRLU,MSE,500,0.01,0.5,99.79%,0.1864
138,21-12-3,ISRLU,MSE,500,0.01,0.95,99.79%,0.1864
666,21-12-3,RELU,CEE,500,0.01,0.75,99.79%,0.1864
227,21-20-3,ISRLU,SSE,300,0.01,0.5,99.79%,0.1871
982,21-15-20-3,ISRLU,CEE,300,0.01,0.75,99.79%,0.1872
1055,21-20-45-3,ISRLU,MSE,300,0.01,0.75,99.79%,0.1872
1062,21-15-20-3,ISRLU,MSE,300,0.01,0.95,99.79%,0.1873
1052,21-15-20-3,ISRLU,MSE,500,0.01,0.75,99.79%,0.1877
112,21-15-3,ISRLU,MSE,300,0.01,0.5,99.79%,0.1879
1063,21-20-45-3,ISRLU,MSE,300,0.01,0.95,99.79%,0.1881
1084,21-20-45-3,ISRLU,MSE,500,0.001,0.95,99.79%,0.1881
218,21-20-3,ISRLU,SSE,500,0.01,0.5,99.79%,0.1882
120,21-12-3,ISRLU,MSE,500,0.01,0.75,99.79%,0.1883
141,21-12-3,ISRLU,MSE,300,0.01,0.95,99.79%,0.1884
28,21-15-3,ISRLU,CEE,300,0.01,0.95,99.79%,0.1886
247,21-15-3,ISRLU,SSE,500,0.01,0.95,99.79%,0.1887
137,21-20-3,ISRLU,MSE,300,0.01,0.95,99.79%,0.1889
241,21-15-3,ISRLU,SSE,500,0.01,0.95,99.79%,0.1889
683,21-20-3,RELU,CEE,300,0.01,0.95,99.79%,0.1889
139,21-15-3,ISRLU,MSE,500,0.01,0.95,99.79%,0.189
1059,21-20-45-3,ISRLU,MSE,300,0.01,0.75,99.79%,0.189
2,21-20-3,ISRLU,CEE,500,0.01,0.5,99.79%,0.1891
242,21-20-3,ISRLU,SSE,500,0.01,0.95,99.79%,0.1891
239,21-20-3,ISRLU,SSE,300,0.01,0.75,99.79%,0.1892
109,21-15-3,ISRLU,MSE,500,0.01,0.5,99.79%,0.1893
124,21-15-3,ISRLU,MSE,300,0.01,0.75,99.79%,0.1893
1032,21-20-45-3,ISRLU,CEE,500,0.0001,0.75,99.79%,0.1893
251,21-20-3,ISRLU,SSE,300,0.01,0.95,99.79%,0.1895
131,21-20-3,ISRLU,MSE,300,0.01,0.75,99.79%,0.1896
220,21-15-3,ISRLU,SSE,300,0.01,0.5,99.79%,0.1896
237,21-12-3,ISRLU,SSE,300,0.01,0.75,99.79%,0.1897
216,21-12-3,ISRLU,SSE,500,0.01,0.5,99.79%,0.1902
226,21-15-3,ISRLU,SSE,300,0.01,0.5,99.79%,0.1902
710,21-20-3,RELU,CEE,500,0.001,0.95,99.79%,0.1902
235,21-15-3,ISRLU,SSE,500,0.01,0.75,99.79%,0.1903
122,21-20-3,ISRLU,MSE,500,0.01,0.75,99.79%,0.1904
1069,21-20-45-3,ISRLU,MSE,500,0.001,0.5,99.79%,0.1904
996,21-15-20-3,ISRLU,CEE,500,0.001,0.5,99.79%,0.1906
1054,21-15-20-3,ISRLU,MSE,300,0.01,0.75,99.79%,0.1907
1035,21-15-20-3,ISRLU,CEE,500,0.0001,0.95,99.79%,0.191
222,21-12-3,ISRLU,SSE,500,0.01,0.5,99.79%,0.1911
1020,21-15-20-3,ISRLU,CEE,500,0.0001,0.5,99.79%,0.1911
118,21-15-3,ISRLU,MSE,300,0.01,0.5,99.79%,0.1912
132,21-12-3,ISRLU,MSE,500,0.01,0.95,99.79%,0.1912
1011,21-20-45-3,ISRLU,CEE,300,0.001,0.75,99.79%,0.1916
1042,21-15-20-3,ISRLU,CEE,300,0.0001,0.95,99.79%,0.1919
1149,21-20-45-3,ISRLU,SSE,500,0.001,0.75,99.79%,0.1919
245,21-20-3,ISRLU,SSE,300,0.01,0.95,99.79%,0.1921
1144,21-15-20-3,ISRLU,SSE,500,0.001,0.5,99.79%,0.1922
1134,21-15-20-3,ISRLU,SSE,300,0.01,0.95,99.79%,0.1925
1072,21-15-20-3,ISRLU,MSE,500,0.001,0.5,99.79%,0.1926
110,21-20-3,ISRLU,MSE,500,0.01,0.5,99.79%,0.193
1157,21-20-45-3,ISRLU,SSE,500,0.001,0.95,99.79%,0.1931
92,21-20-3,ISRLU,CEE,500,0.0001,0.75,99.79%,0.1934
219,21-12-3,ISRLU,SSE,300,0.01,0.5,99.79%,0.1936
716,21-20-3,RELU,CEE,500,0.001,0.95,99.79%,0.1936
1075,21-20-45-3,ISRLU,MSE,300,0.001,0.5,99.79%,0.1939
1140,21-15-20-3,ISRLU,SSE,500,0.001,0.5,99.79%,0.1942
1030,21-15-20-3,ISRLU,CEE,300,0.0001,0.75,99.79%,0.1943
244,21-15-3,ISRLU,SSE,300,0.01,0.95,99.79%,0.1948
1150,21-15-20-3,ISRLU,SSE,300,0.001,0.75,99.79%,0.1949
1043,21-20-45-3,ISRLU,CEE,300,0.0001,0.95,99.79%,0.1956
1089,21-20-45-3,ISRLU,MSE,500,0.001,0.95,99.79%,0.1957
1148,21-15-20-3,ISRLU,SSE,500,0.001,0.75,99.79%,0.1958
437,21-20-3,TANH,MSE,300,0.01,0.5,99.79%,0.196
135,21-12-3,ISRLU,MSE,300,0.01,0.95,99.79%,0.1962
258,21-12-3,ISRLU,SSE,500,0.001,0.5,99.79%,0.1962
97,21-15-3,ISRLU,CEE,500,0.0001,0.95,99.79%,0.1965
225,21-12-3,ISRLU,SSE,300,0.01,0.5,99.79%,0.1966
253,21-15-3,ISRLU,SSE,500,0.001,0.5,99.79%,0.1966
1159,21-20-45-3,ISRLU,SSE,300,0.001,0.95,99.79%,0.1966
1070,21-15-20-3,ISRLU,MSE,300,0.001,0.5,99.79%,0.1968
1151,21-20-45-3,ISRLU,SSE,300,0.001,0.75,99.79%,0.1969
1302,21-15-20-3,TANH,MSE,300,0.001,0.95,99.79%,0.1969
1287,21-20-45-3,TANH,MSE,300,0.001,0.5,99.79%,0.197
1162,21-15-20-3,ISRLU,SSE,300,0.001,0.95,99.79%,0.1973
158,21-20-3,ISRLU,MSE,500,0.001,0.75,99.79%,0.1975
1295,21-20-45-3,TANH,MSE,300,0.001,0.75,99.79%,0.1978
595,21-15-3,TANH,SSE,500,0.001,0.75,99.79%,0.1981
577,21-15-3,TANH,SSE,500,0.001,0.5,99.79%,0.1983
470,21-20-3,TANH,MSE,500,0.001,0.5,99.79%,0.1984
1298,21-15-20-3,TANH,MSE,300,0.001,0.75,99.79%,0.1988
79,21-15-3,ISRLU,CEE,500,0.0001,0.5,99.79%,0.1989
169,21-15-3,ISRLU,MSE,500,0.001,0.95,99.79%,0.1989
583,21-15-3,TANH,SSE,500,0.001,0.5,99.79%,0.199
1071,21-20-45-3,ISRLU,MSE,300,0.001,0.5,99.79%,0.199
1286,21-15-20-3,TANH,MSE,300,0.001,0.5,99.79%,0.199
488,21-20-3,TANH,MSE,500,0.001,0.75,99.79%,0.1991
1299,21-20-45-3,TANH,MSE,300,0.001,0.75,99.79%,0.1993
469,21-15-3,TANH,MSE,500,0.001,0.5,99.79%,0.1996
608,21-20-3,TANH,SSE,500,0.001,0.95,99.79%,0.1998
284,21-20-3,ISRLU,SSE,500,0.001,0.95,99.79%,0.1999
600,21-12-3,TANH,SSE,500,0.001,0.95,99.79%,0.2007
1082,21-15-20-3,ISRLU,MSE,300,0.001,0.75,99.79%,0.2009
1306,21-15-20-3,TANH,MSE,300,0.001,0.95,99.79%,0.2009
596,21-20-3,TANH,SSE,500,0.001,0.75,99.79%,0.201
476,21-20-3,TANH,MSE,500,0.001,0.5,99.79%,0.2011
277,21-15-3,ISRLU,SSE,500,0.001,0.95,99.79%,0.2012
606,21-12-3,TANH,SSE,500,0.001,0.95,99.79%,0.2013
149,21-20-3,ISRLU,MSE,300,0.001,0.5,99.79%,0.2015
162,21-12-3,ISRLU,MSE,500,0.001,0.75,99.79%,0.2019
1291,21-20-45-3,TANH,MSE,300,0.001,0.5,99.79%,0.2019
252,21-12-3,ISRLU,SSE,500,0.001,0.5,99.79%,0.2027
582,21-12-3,TANH,SSE,500,0.001,0.5,99.79%,0.203
501,21-12-3,TANH,MSE,300,0.001,0.95,99.79%,0.2031
475,21-15-3,TANH,MSE,500,0.001,0.5,99.79%,0.2032
598,21-15-3,TANH,SSE,300,0.001,0.75,99.79%,0.2033
496,21-15-3,TANH,MSE,300,0.001,0.95,99.79%,0.2034
609,21-12-3,TANH,SSE,300,0.001,0.95,99.79%,0.2037
485,21-20-3,TANH,MSE,300,0.001,0.75,99.79%,0.2038
579,21-12-3,TANH,SSE,300,0.001,0.5,99.79%,0.2038
587,21-20-3,TANH,SSE,300,0.001,0.5,99.79%,0.204
489,21-12-3,TANH,MSE,300,0.001,0.75,99.79%,0.2042
491,21-20-3,TANH,MSE,300,0.001,0.75,99.79%,0.2042
605,21-20-3,TANH,SSE,300,0.001,0.95,99.79%,0.2042
592,21-15-3,TANH,SSE,300,0.001,0.75,99.79%,0.2043
599,21-20-3,TANH,SSE,300,0.001,0.75,99.79%,0.2044
502,21-15-3,TANH,MSE,300,0.001,0.95,99.79%,0.2045
495,21-12-3,TANH,MSE,300,0.001,0.95,99.79%,0.2046
478,21-15-3,TANH,MSE,300,0.001,0.5,99.79%,0.2047
576,21-12-3,TANH,SSE,500,0.001,0.5,99.79%,0.205
1290,21-15-20-3,TANH,MSE,300,0.001,0.5,99.79%,0.205
580,21-15-3,TANH,SSE,300,0.001,0.5,99.79%,0.2051
588,21-12-3,TANH,SSE,500,0.001,0.75,99.79%,0.2052
497,21-20-3,TANH,MSE,300,0.001,0.95,99.79%,0.2062
585,21-12-3,TANH,SSE,300,0.001,0.5,99.79%,0.2071
597,21-12-3,TANH,SSE,300,0.001,0.75,99.79%,0.2071
471,21-12-3,TANH,MSE,300,0.001,0.5,99.79%,0.2077
483,21-12-3,TANH,MSE,300,0.001,0.75,99.79%,0.2079
591,21-12-3,TANH,SSE,300,0.001,0.75,99.79%,0.2104
1362,21-15-20-3,TANH,SSE,300,0.001,0.5,99.79%,0.2106
611,21-20-3,TANH,SSE,300,0.001,0.95,99.79%,0.2121
586,21-15-3,TANH,SSE,300,0.001,0.5,99.79%,0.2127
503,21-20-3,TANH,MSE,300,0.001,0.95,99.79%,0.2137
136,21-15-3,ISRLU,MSE,300,0.01,0.95,99.57%,0.1871
246,21-12-3,ISRLU,SSE,500,0.01,0.95,99.57%,0.1874
232,21-15-3,ISRLU,SSE,300,0.01,0.75,99.57%,0.1878
238,21-15-3,ISRLU,SSE,300,0.01,0.75,99.57%,0.1879
650,21-20-3,RELU,CEE,500,0.01,0.5,99.57%,0.1879
977,21-20-45-3,ISRLU,CEE,500,0.01,0.5,99.57%,0.1882
221,21-20-3,ISRLU,SSE,300,0.01,0.5,99.57%,0.189
1153,21-20-45-3,ISRLU,SSE,500,0.001,0.75,99.57%,0.1899
230,21-20-3,ISRLU,SSE,500,0.01,0.75,99.57%,0.1902
1024,21-15-20-3,ISRLU,CEE,500,0.0001,0.5,99.57%,0.1902
250,21-15-3,ISRLU,SSE,300,0.01,0.95,99.57%,0.1903
243,21-12-3,ISRLU,SSE,300,0.01,0.95,99.57%,0.1907
978,21-15-20-3,ISRLU,CEE,300,0.01,0.5,99.57%,0.1907
143,21-20-3,ISRLU,MSE,300,0.01,0.95,99.57%,0.1909
1033,21-15-20-3,ISRLU,CEE,300,0.0001,0.75,99.57%,0.1909
1145,21-20-45-3,ISRLU,SSE,500,0.001,0.5,99.57%,0.1911
1160,21-15-20-3,ISRLU,SSE,500,0.001,0.95,99.57%,0.1932
233,21-20-3,ISRLU,SSE,300,0.01,0.75,99.57%,0.1934
1000,21-15-20-3,ISRLU,CEE,500,0.001,0.5,99.57%,0.1935
117,21-12-3,ISRLU,MSE,300,0.01,0.5,99.57%,0.1938
1077,21-20-45-3,ISRLU,MSE,500,0.001,0.75,99.57%,0.1939
126,21-12-3,ISRLU,MSE,500,0.01,0.75,99.57%,0.194
1078,21-15-20-3,ISRLU,MSE,300,0.001,0.75,99.57%,0.1942
1083,21-20-45-3,ISRLU,MSE,300,0.001,0.75,99.57%,0.1945
1152,21-15-20-3,ISRLU,SSE,500,0.001,0.75,99.57%,0.1947
1073,21-20-45-3,ISRLU,MSE,500,0.001,0.5,99.57%,0.1951
1163,21-20-45-3,ISRLU,SSE,300,0.001,0.95,99.57%,0.1951
1146,21-15-20-3,ISRLU,SSE,300,0.001,0.5,99.57%,0.1952
98,21-20-3,ISRLU,CEE,500,0.0001,0.95,99.57%,0.1956
1155,21-20-45-3,ISRLU,SSE,300,0.001,0.75,99.57%,0.1968
272,21-20-3,ISRLU,SSE,500,0.001,0.75,99.57%,0.1974
73,21-15-3,ISRLU,CEE,500,0.0001,0.5,99.57%,0.1979
224,21-20-3,ISRLU,SSE,500,0.01,0.5,99.57%,0.1981
176,21-20-3,ISRLU,MSE,500,0.001,0.95,99.57%,0.1982
266,21-20-3,ISRLU,SSE,500,0.001,0.75,99.57%,0.1985
260,21-20-3,ISRLU,SSE,500,0.001,0.5,99.57%,0.1987
926,21-20-3,RELU,SSE,500,0.001,0.95,99.57%,0.1989
254,21-20-3,ISRLU,SSE,500,0.001,0.5,99.57%,0.1992
767,21-20-3,RELU,MSE,300,0.01,0.5,99.57%,0.1997
164,21-20-3,ISRLU,MSE,500,0.001,0.75,99.57%,0.2
270,21-12-3,ISRLU,SSE,500,0.001,0.75,99.57%,0.2005
80,21-20-3,ISRLU,CEE,500,0.0001,0.5,99.57%,0.2006
269,21-20-3,ISRLU,SSE,300,0.001,0.75,99.57%,0.2006
259,21-15-3,ISRLU,SSE,500,0.001,0.5,99.57%,0.2008
283,21-15-3,ISRLU,SSE,500,0.001,0.95,99.57%,0.2008
144,21-12-3,ISRLU,MSE,500,0.001,0.5,99.57%,0.201
271,21-15-3,ISRLU,SSE,500,0.001,0.75,99.57%,0.201
157,21-15-3,ISRLU,MSE,500,0.001,0.75,99.57%,0.2013
822,21-12-3,RELU,MSE,500,0.001,0.95,99.57%,0.2013
275,21-20-3,ISRLU,SSE,300,0.001,0.75,99.57%,0.2014
274,21-15-3,ISRLU,SSE,300,0.001,0.75,99.57%,0.2016
923,21-20-3,RELU,SSE,300,0.001,0.75,99.57%,0.2026
280,21-15-3,ISRLU,SSE,300,0.001,0.95,99.57%,0.2039
285,21-12-3,ISRLU,SSE,300,0.001,0.95,99.57%,0.2041
1085,21-15-20-3,ISRLU,MSE,300,0.001,0.95,99.57%,0.2041
179,21-20-3,ISRLU,MSE,300,0.001,0.95,99.57%,0.2058
473,21-20-3,TANH,MSE,300,0.001,0.5,99.57%,0.2071
656,21-20-3,RELU,CEE,500,0.01,0.5,99.36%,0.1855
659,21-20-3,RELU,CEE,300,0.01,0.5,99.36%,0.1883
0,21-12-3,ISRLU,CEE,500,0.01,0.5,99.36%,0.1885
701,21-20-3,RELU,CEE,300,0.001,0.75,99.36%,0.1894
18,21-12-3,ISRLU,CEE,500,0.01,0.75,99.36%,0.1901
1128,21-15-20-3,ISRLU,SSE,500,0.01,0.75,99.36%,0.1916
50,21-20-3,ISRLU,CEE,500,0.001,0.75,99.36%,0.1919
57,21-12-3,ISRLU,CEE,300,0.001,0.75,99.36%,0.1923
984,21-15-20-3,ISRLU,CEE,500,0.01,0.75,99.36%,0.1932
103,21-15-3,ISRLU,CEE,500,0.0001,0.95,99.36%,0.1942
66,21-12-3,ISRLU,CEE,500,0.001,0.95,99.36%,0.195
129,21-12-3,ISRLU,MSE,300,0.01,0.75,99.36%,0.1954
1031,21-20-45-3,ISRLU,CEE,300,0.0001,0.75,99.36%,0.1956
84,21-12-3,ISRLU,CEE,500,0.0001,0.75,99.36%,0.1962
86,21-20-3,ISRLU,CEE,500,0.0001,0.75,99.36%,0.197
111,21-12-3,ISRLU,MSE,300,0.01,0.5,99.36%,0.1971
44,21-20-3,ISRLU,CEE,500,0.001,0.5,99.36%,0.1972
130,21-15-3,ISRLU,MSE,300,0.01,0.75,99.36%,0.1977
917,21-20-3,RELU,SSE,300,0.001,0.75,99.36%,0.1982
806,21-20-3,RELU,MSE,500,0.001,0.75,99.36%,0.1995
170,21-20-3,ISRLU,MSE,500,0.001,0.95,99.36%,0.1998
150,21-12-3,ISRLU,MSE,500,0.001,0.5,99.36%,0.2003
261,21-12-3,ISRLU,SSE,300,0.001,0.5,99.36%,0.2007
827,21-20-3,RELU,MSE,300,0.001,0.95,99.36%,0.2007
175,21-15-3,ISRLU,MSE,500,0.001,0.95,99.36%,0.202
156,21-12-3,ISRLU,MSE,500,0.001,0.75,99.36%,0.2029
171,21-12-3,ISRLU,MSE,300,0.001,0.95,99.36%,0.2037
155,21-20-3,ISRLU,MSE,300,0.001,0.5,99.36%,0.2043
477,21-12-3,TANH,MSE,300,0.001,0.5,99.36%,0.2071
581,21-20-3,TANH,SSE,300,0.001,0.5,99.36%,0.2077
490,21-15-3,TANH,MSE,300,0.001,0.75,99.36%,0.2089
142,21-15-3,ISRLU,MSE,300,0.01,0.95,99.15%,0.1904
658,21-15-3,RELU,CEE,300,0.01,0.5,99.15%,0.1906
1154,21-15-20-3,ISRLU,SSE,300,0.001,0.75,99.15%,0.1969
677,21-20-3,RELU,CEE,300,0.01,0.95,99.15%,0.1979
1034,21-20-45-3,ISRLU,CEE,300,0.0001,0.75,99.15%,0.1981
1143,21-20-45-3,ISRLU,SSE,300,0.001,0.5,99.15%,0.1991
795,21-12-3,RELU,MSE,300,0.001,0.5,99.15%,0.2002
278,21-20-3,ISRLU,SSE,500,0.001,0.95,99.15%,0.2006
921,21-12-3,RELU,SSE,300,0.001,0.75,99.15%,0.2006
264,21-12-3,ISRLU,SSE,500,0.001,0.75,99.15%,0.2008
152,21-20-3,ISRLU,MSE,500,0.001,0.5,99.15%,0.2014
816,21-12-3,RELU,MSE,500,0.001,0.95,99.15%,0.2027
172,21-15-3,ISRLU,MSE,300,0.001,0.95,99.15%,0.2034
147,21-12-3,ISRLU,MSE,300,0.001,0.5,99.15%,0.2038
173,21-20-3,ISRLU,MSE,300,0.001,0.95,99.15%,0.2039
255,21-12-3,ISRLU,SSE,300,0.001,0.5,99.15%,0.2042
273,21-12-3,ISRLU,SSE,300,0.001,0.75,99.15%,0.2042
154,21-15-3,ISRLU,MSE,300,0.001,0.5,99.15%,0.2043
166,21-15-3,ISRLU,MSE,300,0.001,0.75,99.15%,0.2044
802,21-15-3,RELU,MSE,300,0.001,0.5,99.15%,0.2054
279,21-12-3,ISRLU,SSE,300,0.001,0.95,99.15%,0.2069
1358,21-15-20-3,TANH,SSE,300,0.001,0.5,99.15%,0.2073
479,21-20-3,TANH,MSE,300,0.001,0.5,99.15%,0.2132
37,21-15-3,ISRLU,CEE,500,0.001,0.5,98.94%,0.1937
1007,21-20-45-3,ISRLU,CEE,300,0.001,0.75,98.94%,0.1963
60,21-12-3,ISRLU,CEE,500,0.001,0.95,98.94%,0.1972
282,21-12-3,ISRLU,SSE,500,0.001,0.95,98.94%,0.198
229,21-15-3,ISRLU,SSE,500,0.01,0.75,98.94%,0.1988
85,21-15-3,ISRLU,CEE,500,0.0001,0.75,98.94%,0.199
738,21-12-3,RELU,CEE,500,0.0001,0.75,98.94%,0.1997
784,21-15-3,RELU,MSE,300,0.01,0.95,98.94%,0.2
146,21-20-3,ISRLU,MSE,500,0.001,0.5,98.94%,0.2003
95,21-20-3,ISRLU,CEE,300,0.0001,0.75,98.94%,0.2013
276,21-12-3,ISRLU,SSE,500,0.001,0.95,98.94%,0.203
909,21-12-3,RELU,SSE,300,0.001,0.5,98.94%,0.203
161,21-20-3,ISRLU,MSE,300,0.001,0.75,98.94%,0.2036
159,21-12-3,ISRLU,MSE,300,0.001,0.75,98.94%,0.2045
75,21-12-3,ISRLU,CEE,300,0.0001,0.5,98.94%,0.2046
174,21-12-3,ISRLU,MSE,500,0.001,0.95,98.94%,0.2048
263,21-20-3,ISRLU,SSE,300,0.001,0.5,98.94%,0.2049
287,21-20-3,ISRLU,SSE,300,0.001,0.95,98.94%,0.2052
286,21-15-3,ISRLU,SSE,300,0.001,0.95,98.94%,0.2055
931,21-15-3,RELU,SSE,500,0.001,0.95,98.94%,0.2066
17,21-20-3,ISRLU,CEE,300,0.01,0.75,98.72%,0.1949
686,21-20-3,RELU,CEE,500,0.001,0.5,98.72%,0.196
727,21-15-3,RELU,CEE,500,0.0001,0.5,98.72%,0.197
974,21-15-20-3,ISRLU,CEE,300,0.01,0.5,98.72%,0.1971
914,21-20-3,RELU,SSE,500,0.001,0.75,98.72%,0.1975
72,21-12-3,ISRLU,CEE,500,0.0001,0.5,98.72%,0.1986
69,21-12-3,ISRLU,CEE,300,0.001,0.95,98.72%,0.2001
739,21-15-3,RELU,CEE,500,0.0001,0.75,98.72%,0.2006
777,21-12-3,RELU,MSE,300,0.01,0.75,98.72%,0.2008
167,21-20-3,ISRLU,MSE,300,0.001,0.75,98.72%,0.2009
256,21-15-3,ISRLU,SSE,300,0.001,0.5,98.72%,0.2032
873,21-15-3,RELU,SSE,500,0.01,0.5,98.72%,0.2035
153,21-12-3,ISRLU,MSE,300,0.001,0.5,98.72%,0.204
281,21-20-3,ISRLU,SSE,300,0.001,0.95,98.72%,0.2041
177,21-12-3,ISRLU,MSE,300,0.001,0.95,98.72%,0.2043
262,21-15-3,ISRLU,SSE,300,0.001,0.5,98.72%,0.2044
39,21-12-3,ISRLU,CEE,300,0.001,0.5,98.72%,0.2051
268,21-15-3,ISRLU,SSE,300,0.001,0.75,98.72%,0.2059
178,21-15-3,ISRLU,MSE,300,0.001,0.95,98.72%,0.2063
904,21-15-3,RELU,SSE,300,0.001,0.5,98.72%,0.2068
58,21-15-3,ISRLU,CEE,300,0.001,0.75,98.72%,0.2105
1195,21-20-45-3,TANH,CEE,300,0.01,0.5,98.72%,0.242
1241,21-20-45-3,TANH,CEE,500,0.0001,0.5,98.72%,0.2535
976,21-15-20-3,ISRLU,CEE,500,0.01,0.5,98.51%,0.1913
10,21-15-3,ISRLU,CEE,300,0.01,0.5,98.51%,0.192
4,21-15-3,ISRLU,CEE,300,0.01,0.5,98.51%,0.194
888,21-12-3,RELU,SSE,500,0.01,0.95,98.51%,0.2005
912,21-12-3,RELU,SSE,500,0.001,0.75,98.51%,0.2045
700,21-15-3,RELU,CEE,300,0.001,0.75,98.51%,0.2051
1096,21-15-20-3,ISRLU,MSE,500,0.0001,0.5,98.51%,0.2099
993,21-20-45-3,ISRLU,CEE,500,0.01,0.95,98.30%,0.1898
661,21-15-3,RELU,CEE,500,0.01,0.75,98.30%,0.1945
25,21-15-3,ISRLU,CEE,500,0.01,0.95,98.30%,0.1949
265,21-15-3,ISRLU,SSE,500,0.001,0.75,98.30%,0.1995
903,21-12-3,RELU,SSE,300,0.001,0.5,98.30%,0.1996
228,21-12-3,ISRLU,SSE,500,0.01,0.75,98.30%,0.2003
257,21-20-3,ISRLU,SSE,300,0.001,0.5,98.30%,0.2006
979,21-20-45-3,ISRLU,CEE,300,0.01,0.5,98.30%,0.2012
163,21-15-3,ISRLU,MSE,500,0.001,0.75,98.30%,0.2014
928,21-15-3,RELU,SSE,300,0.001,0.95,98.30%,0.2022
755,21-20-3,RELU,CEE,300,0.0001,0.95,98.30%,0.2026
90,21-12-3,ISRLU,CEE,500,0.0001,0.75,98.30%,0.2041
87,21-12-3,ISRLU,CEE,300,0.0001,0.75,98.30%,0.2042
480,21-12-3,TANH,MSE,500,0.001,0.75,98.30%,0.2047
83,21-20-3,ISRLU,CEE,300,0.0001,0.5,98.30%,0.2062
81,21-12-3,ISRLU,CEE,300,0.0001,0.5,98.30%,0.2068
817,21-15-3,RELU,MSE,500,0.001,0.95,98.30%,0.2079
484,21-15-3,TANH,MSE,300,0.001,0.75,98.30%,0.208
604,21-15-3,TANH,SSE,300,0.001,0.95,98.30%,0.2082
1113,21-20-45-3,ISRLU,MSE,500,0.0001,0.95,98.30%,0.2082
1177,21-20-45-3,ISRLU,SSE,500,0.0001,0.75,98.30%,0.2104
1093,21-20-45-3,ISRLU,MSE,500,0.0001,0.5,98.30%,0.2135
1181,21-20-45-3,ISRLU,SSE,500,0.0001,0.95,98.30%,0.214
1028,21-15-20-3,ISRLU,CEE,500,0.0001,0.75,98.09%,0.1912
740,21-20-3,RELU,CEE,500,0.0001,0.75,98.09%,0.1942
3,21-12-3,ISRLU,CEE,300,0.01,0.5,98.09%,0.1947
674,21-20-3,RELU,CEE,500,0.01,0.95,98.09%,0.1975
695,21-20-3,RELU,CEE,300,0.001,0.5,98.09%,0.198
871,21-15-3,RELU,SSE,300,0.01,0.5,98.09%,0.1991
151,21-15-3,ISRLU,MSE,500,0.001,0.5,98.09%,0.2007
789,21-12-3,RELU,MSE,300,0.01,0.95,98.09%,0.2027
812,21-20-3,RELU,MSE,500,0.001,0.75,98.09%,0.203
165,21-12-3,ISRLU,MSE,300,0.001,0.75,98.09%,0.2045
593,21-20-3,TANH,SSE,300,0.001,0.75,98.09%,0.2061
77,21-20-3,ISRLU,CEE,300,0.0001,0.5,98.09%,0.2081
1165,21-20-45-3,ISRLU,SSE,500,0.0001,0.5,98.09%,0.2081
76,21-15-3,ISRLU,CEE,300,0.0001,0.5,98.09%,0.2105
1109,21-20-45-3,ISRLU,MSE,500,0.0001,0.95,98.09%,0.2106
23,21-20-3,ISRLU,CEE,300,0.01,0.75,97.87%,0.192
761,21-20-3,RELU,MSE,300,0.01,0.5,97.87%,0.199
93,21-12-3,ISRLU,CEE,300,0.0001,0.75,97.87%,0.2035
792,21-12-3,RELU,MSE,500,0.001,0.5,97.87%,0.2073
852,21-12-3,RELU,MSE,500,0.0001,0.95,97.87%,0.2078
1027,21-20-45-3,ISRLU,CEE,300,0.0001,0.5,97.87%,0.2091
1185,21-20-45-3,ISRLU,SSE,500,0.0001,0.95,97.87%,0.2165
1097,21-20-45-3,ISRLU,MSE,500,0.0001,0.5,97.87%,0.2178
794,21-20-3,RELU,MSE,500,0.001,0.5,97.66%,0.1963
145,21-15-3,ISRLU,MSE,500,0.001,0.5,97.66%,0.1998
125,21-20-3,ISRLU,MSE,300,0.01,0.75,97.66%,0.2006
