Index,Layers,Activation,Loss,Epochs,Alpha,Beta,F1-Score,MCE
1345,21-20-45-3,TANH,SSE,500,0.01,0.75,100.00%,0.1853
47,21-20-3,ISRLU,CEE,300,0.001,0.5,100.00%,0.1854
1138,21-15-20-3,ISRLU,SSE,300,0.01,0.95,100.00%,0.1854
1341,21-20-45-3,TANH,SSE,500,0.01,0.75,100.00%,0.1854
1352,21-15-20-3,TANH,SSE,500,0.01,0.95,100.00%,0.1854
6,21-12-3,ISRLU,CEE,500,0.01,0.5,100.00%,0.1855
63,21-12-3,ISRLU,CEE,300,0.001,0.95,100.00%,0.1855
1332,21-15-20-3,TANH,SSE,500,0.01,0.5,100.00%,0.1855
27,21-12-3,ISRLU,CEE,300,0.01,0.95,100.00%,0.1856
236,21-20-3,ISRLU,SSE,500,0.01,0.75,100.00%,0.1856
1056,21-15-20-3,ISRLU,MSE,500,0.01,0.75,100.00%,0.1856
547,21-15-3,TANH,SSE,500,0.01,0.5,100.00%,0.1857
566,21-20-3,TANH,SSE,500,0.01,0.95,100.00%,0.1857
571,21-15-3,TANH,SSE,500,0.01,0.95,100.00%,0.1857
1269,21-20-45-3,TANH,MSE,500,0.01,0.75,100.00%,0.1857
1275,21-20-45-3,TANH,MSE,300,0.01,0.75,100.00%,0.1857
1283,21-20-45-3,TANH,MSE,300,0.01,0.95,100.00%,0.1857
1333,21-20-45-3,TANH,SSE,500,0.01,0.5,100.00%,0.1857
1335,21-20-45-3,TANH,SSE,300,0.01,0.5,100.00%,0.1857
1342,21-15-20-3,TANH,SSE,300,0.01,0.75,100.00%,0.1857
1351,21-20-45-3,TANH,SSE,300,0.01,0.95,100.00%,0.1857
462,21-12-3,TANH,MSE,500,0.01,0.95,100.00%,0.1858
463,21-15-3,TANH,MSE,500,0.01,0.95,100.00%,0.1858
552,21-12-3,TANH,SSE,500,0.01,0.75,100.00%,0.1858
565,21-15-3,TANH,SSE,500,0.01,0.95,100.00%,0.1858
1053,21-20-45-3,ISRLU,MSE,500,0.01,0.75,100.00%,0.1858
1065,21-20-45-3,ISRLU,MSE,500,0.01,0.95,100.00%,0.1858
1266,21-15-20-3,TANH,MSE,300,0.01,0.5,100.00%,0.1858
1267,21-20-45-3,TANH,MSE,300,0.01,0.5,100.00%,0.1858
1282,21-15-20-3,TANH,MSE,300,0.01,0.95,100.00%,0.1858
1339,21-20-45-3,TANH,SSE,300,0.01,0.5,100.00%,0.1858
1340,21-15-20-3,TANH,SSE,500,0.01,0.75,100.00%,0.1858
1343,21-20-45-3,TANH,SSE,300,0.01,0.75,100.00%,0.1858
1346,21-15-20-3,TANH,SSE,300,0.01,0.75,100.00%,0.1858
1347,21-20-45-3,TANH,SSE,300,0.01,0.75,100.00%,0.1858
1354,21-15-20-3,TANH,SSE,300,0.01,0.95,100.00%,0.1858
1355,21-20-45-3,TANH,SSE,300,0.01,0.95,100.00%,0.1858
438,21-12-3,TANH,MSE,500,0.01,0.5,100.00%,0.1859
445,21-15-3,TANH,MSE,500,0.01,0.75,100.00%,0.1859
446,21-20-3,TANH,MSE,500,0.01,0.75,100.00%,0.1859
452,21-20-3,TANH,MSE,500,0.01,0.75,100.00%,0.1859
456,21-12-3,TANH,MSE,500,0.01,0.95,100.00%,0.1859
464,21-20-3,TANH,MSE,500,0.01,0.95,100.00%,0.1859
548,21-20-3,TANH,SSE,500,0.01,0.5,100.00%,0.1859
553,21-15-3,TANH,SSE,500,0.01,0.75,100.00%,0.1859
554,21-20-3,TANH,SSE,500,0.01,0.75,100.00%,0.1859
560,21-20-3,TANH,SSE,500,0.01,0.75,100.00%,0.1859
564,21-12-3,TANH,SSE,500,0.01,0.95,100.00%,0.1859
572,21-20-3,TANH,SSE,500,0.01,0.95,100.00%,0.1859
1277,21-20-45-3,TANH,MSE,500,0.01,0.95,100.00%,0.1859
1338,21-15-20-3,TANH,SSE,300,0.01,0.5,100.00%,0.1859
70,21-15-3,ISRLU,CEE,300,0.001,0.95,100.00%,0.186
444,21-12-3,TANH,MSE,500,0.01,0.75,100.00%,0.186
451,21-15-3,TANH,MSE,500,0.01,0.75,100.00%,0.186
541,21-15-3,TANH,SSE,500,0.01,0.5,100.00%,0.186
542,21-20-3,TANH,SSE,500,0.01,0.5,100.00%,0.186
546,21-12-3,TANH,SSE,500,0.01,0.5,100.00%,0.186
558,21-12-3,TANH,SSE,500,0.01,0.75,100.00%,0.186
559,21-15-3,TANH,SSE,500,0.01,0.75,100.00%,0.186
1137,21-20-45-3,ISRLU,SSE,500,0.01,0.95,100.00%,0.186
1276,21-15-20-3,TANH,MSE,500,0.01,0.95,100.00%,0.186
24,21-12-3,ISRLU,CEE,500,0.01,0.95,100.00%,0.1861
55,21-15-3,ISRLU,CEE,500,0.001,0.75,100.00%,0.1861
59,21-20-3,ISRLU,CEE,300,0.001,0.75,100.00%,0.1861
223,21-15-3,ISRLU,SSE,500,0.01,0.5,100.00%,0.1861
440,21-20-3,TANH,MSE,500,0.01,0.5,100.00%,0.1861
1051,21-20-45-3,ISRLU,MSE,300,0.01,0.5,100.00%,0.1861
1058,21-15-20-3,ISRLU,MSE,300,0.01,0.75,100.00%,0.1861
68,21-20-3,ISRLU,CEE,500,0.001,0.95,100.00%,0.1862
1274,21-15-20-3,TANH,MSE,300,0.01,0.75,100.00%,0.1862
563,21-20-3,TANH,SSE,300,0.01,0.75,100.00%,0.1863
570,21-12-3,TANH,SSE,500,0.01,0.95,100.00%,0.1863
1066,21-15-20-3,ISRLU,MSE,300,0.01,0.95,100.00%,0.1863
1261,21-20-45-3,TANH,MSE,500,0.01,0.5,100.00%,0.1863
1268,21-15-20-3,TANH,MSE,500,0.01,0.75,100.00%,0.1863
455,21-20-3,TANH,MSE,300,0.01,0.75,100.00%,0.1864
568,21-15-3,TANH,SSE,300,0.01,0.95,100.00%,0.1864
1121,21-20-45-3,ISRLU,SSE,500,0.01,0.5,100.00%,0.1865
1263,21-20-45-3,TANH,MSE,300,0.01,0.5,100.00%,0.1865
1271,21-20-45-3,TANH,MSE,300,0.01,0.75,100.00%,0.1865
1278,21-15-20-3,TANH,MSE,300,0.01,0.95,100.00%,0.1865
1348,21-15-20-3,TANH,SSE,500,0.01,0.95,100.00%,0.1865
42,21-12-3,ISRLU,CEE,500,0.001,0.5,100.00%,0.1866
434,21-20-3,TANH,MSE,500,0.01,0.5,100.00%,0.1866
439,21-15-3,TANH,MSE,500,0.01,0.5,100.00%,0.1866
457,21-15-3,TANH,MSE,500,0.01,0.95,100.00%,0.1866
467,21-20-3,TANH,MSE,300,0.01,0.95,100.00%,0.1866
1060,21-15-20-3,ISRLU,MSE,500,0.01,0.95,100.00%,0.1866
1279,21-20-45-3,TANH,MSE,300,0.01,0.95,100.00%,0.1866
448,21-15-3,TANH,MSE,300,0.01,0.75,100.00%,0.1867
461,21-20-3,TANH,MSE,300,0.01,0.95,100.00%,0.1867
573,21-12-3,TANH,SSE,300,0.01,0.95,100.00%,0.1867
52,21-15-3,ISRLU,CEE,300,0.001,0.75,100.00%,0.1868
433,21-15-3,TANH,MSE,500,0.01,0.5,100.00%,0.1868
459,21-12-3,TANH,MSE,300,0.01,0.95,100.00%,0.1868
465,21-12-3,TANH,MSE,300,0.01,0.95,100.00%,0.1868
466,21-15-3,TANH,MSE,300,0.01,0.95,100.00%,0.1868
567,21-12-3,TANH,SSE,300,0.01,0.95,100.00%,0.1868
550,21-15-3,TANH,SSE,300,0.01,0.5,100.00%,0.1869
551,21-20-3,TANH,SSE,300,0.01,0.5,100.00%,0.1869
562,21-15-3,TANH,SSE,300,0.01,0.75,100.00%,0.1869
1047,21-20-45-3,ISRLU,MSE,300,0.01,0.5,100.00%,0.1869
1270,21-15-20-3,TANH,MSE,300,0.01,0.75,100.00%,0.1869
38,21-20-3,ISRLU,CEE,500,0.001,0.5,100.00%,0.187
436,21-15-3,TANH,MSE,300,0.01,0.5,100.00%,0.187
454,21-15-3,TANH,MSE,300,0.01,0.75,100.00%,0.187
460,21-15-3,TANH,MSE,300,0.01,0.95,100.00%,0.187
545,21-20-3,TANH,SSE,300,0.01,0.5,100.00%,0.187
557,21-20-3,TANH,SSE,300,0.01,0.75,100.00%,0.187
574,21-15-3,TANH,SSE,300,0.01,0.95,100.00%,0.187
575,21-20-3,TANH,SSE,300,0.01,0.95,100.00%,0.187
435,21-12-3,TANH,MSE,300,0.01,0.5,100.00%,0.1871
441,21-12-3,TANH,MSE,300,0.01,0.5,100.00%,0.1871
453,21-12-3,TANH,MSE,300,0.01,0.75,100.00%,0.1871
543,21-12-3,TANH,SSE,300,0.01,0.5,100.00%,0.1871
544,21-15-3,TANH,SSE,300,0.01,0.5,100.00%,0.1871
447,21-12-3,TANH,MSE,300,0.01,0.75,100.00%,0.1873
549,21-12-3,TANH,SSE,300,0.01,0.5,100.00%,0.1873
443,21-20-3,TANH,MSE,300,0.01,0.5,100.00%,0.1874
561,21-12-3,TANH,SSE,300,0.01,0.75,100.00%,0.1874
1260,21-15-20-3,TANH,MSE,500,0.01,0.5,100.00%,0.1874
133,21-15-3,ISRLU,MSE,500,0.01,0.95,100.00%,0.1876
569,21-20-3,TANH,SSE,300,0.01,0.95,100.00%,0.1876
1015,21-20-45-3,ISRLU,CEE,300,0.001,0.95,100.00%,0.1876
449,21-20-3,TANH,MSE,300,0.01,0.75,100.00%,0.1877
703,21-15-3,RELU,CEE,500,0.001,0.75,100.00%,0.1877
705,21-12-3,RELU,CEE,300,0.001,0.75,100.00%,0.1877
1136,21-15-20-3,ISRLU,SSE,500,0.01,0.95,100.00%,0.1878
108,21-12-3,ISRLU,MSE,500,0.01,0.5,100.00%,0.188
442,21-15-3,TANH,MSE,300,0.01,0.5,100.00%,0.1881
248,21-20-3,ISRLU,SSE,500,0.01,0.95,100.00%,0.1882
128,21-20-3,ISRLU,MSE,500,0.01,0.75,100.00%,0.1886
450,21-12-3,TANH,MSE,500,0.01,0.75,100.00%,0.1886
540,21-12-3,TANH,SSE,500,0.01,0.5,100.00%,0.1886
1002,21-15-20-3,ISRLU,CEE,300,0.001,0.5,100.00%,0.1887
1350,21-15-20-3,TANH,SSE,300,0.01,0.95,100.00%,0.1887
556,21-15-3,TANH,SSE,300,0.01,0.75,100.00%,0.1888
41,21-20-3,ISRLU,CEE,300,0.001,0.5,100.00%,0.189
217,21-15-3,ISRLU,SSE,500,0.01,0.5,100.00%,0.189
1139,21-20-45-3,ISRLU,SSE,300,0.01,0.95,100.00%,0.1893
123,21-12-3,ISRLU,MSE,300,0.01,0.75,100.00%,0.1894
1334,21-15-20-3,TANH,SSE,300,0.01,0.5,100.00%,0.1894
127,21-15-3,ISRLU,MSE,500,0.01,0.75,100.00%,0.1895
