21-12-3,ISRLU,CEE,300,1.0E-4,0.5,98.94%, 0.2046
21-15-3,ISRLU,CEE,300,1.0E-4,0.5,98.09%, 0.2105
21-20-3,ISRLU,CEE,300,1.0E-4,0.5,98.09%, 0.2081
21-12-3,ISRLU,CEE,500,1.0E-4,0.5,97.66%, 0.2063
21-15-3,ISRLU,CEE,500,1.0E-4,0.5,99.79%, 0.1989
21-20-3,ISRLU,CEE,500,1.0E-4,0.5,99.57%, 0.2006
21-12-3,ISRLU,CEE,300,1.0E-4,0.5,98.30%, 0.2068
21-15-3,ISRLU,CEE,300,1.0E-4,0.5,97.23%, 0.2111
21-20-3,ISRLU,CEE,300,1.0E-4,0.5,98.30%, 0.2062
21-12-3,ISRLU,CEE,500,1.0E-4,0.75,99.36%, 0.1962
21-15-3,ISRLU,CEE,500,1.0E-4,0.75,98.94%, 0.1990
21-20-3,ISRLU,CEE,500,1.0E-4,0.75,99.36%, 0.1970
21-12-3,ISRLU,CEE,300,1.0E-4,0.75,98.30%, 0.2042
21-15-3,ISRLU,CEE,300,1.0E-4,0.75,92.77%, 0.2460
21-20-3,ISRLU,CEE,300,1.0E-4,0.75,95.96%, 0.2161
21-12-3,ISRLU,CEE,500,1.0E-4,0.75,98.30%, 0.2041
21-15-3,ISRLU,CEE,500,1.0E-4,0.75,92.98%, 0.2200
21-20-3,ISRLU,CEE,500,1.0E-4,0.75,99.79%, 0.1934
21-12-3,ISRLU,CEE,300,1.0E-4,0.75,97.87%, 0.2035
21-15-3,ISRLU,CEE,300,1.0E-4,0.75,96.38%, 0.2173
21-20-3,ISRLU,CEE,300,1.0E-4,0.75,98.94%, 0.2013
21-12-3,ISRLU,CEE,500,1.0E-4,0.95,95.11%, 0.2237
21-15-3,ISRLU,CEE,500,1.0E-4,0.95,99.79%, 0.1965
21-20-3,ISRLU,CEE,500,1.0E-4,0.95,99.57%, 0.1956
21-12-3,ISRLU,CEE,300,1.0E-4,0.95,97.66%, 0.2052
21-15-3,ISRLU,CEE,300,1.0E-4,0.95,97.23%, 0.2230
21-20-3,ISRLU,CEE,300,1.0E-4,0.95,95.96%, 0.2172
21-12-3,ISRLU,CEE,500,1.0E-4,0.95,97.45%, 0.1987
21-15-3,ISRLU,CEE,500,1.0E-4,0.95,99.36%, 0.1942
21-20-3,ISRLU,CEE,500,1.0E-4,0.95,95.53%, 0.2231
21-12-3,ISRLU,CEE,300,1.0E-4,0.95,90.00%, 0.2400
21-15-3,ISRLU,CEE,300,1.0E-4,0.95,95.74%, 0.2249
21-20-3,ISRLU,CEE,300,1.0E-4,0.95,92.34%, 0.2260
